Name of Earth Meteorite,id,Meteorite,nametype,recclass,mass,year,reclat,reclong
Erxleben,10049,Valid,H6,600,,reclat,reclong
Esnandes,10051,Valid,L6,600,,reclat,reclong
Essebi,10055,Valid,C2-ung,600,,reclat,reclong
Estherville,10059,Valid,Mesosiderite-A3/4,600,,reclat,reclong
Farmington,10074,Valid,L5,600,,reclat,reclong
Farmville,10075,Valid,H4,600,,reclat,reclong
Favars,10078,Valid,H5,600,,reclat,reclong
Fayetteville,10079,Valid,H4,600,,reclat,reclong
Feid Chair,10080,Valid,H4,600,,reclat,reclong
Felix,10081,Valid,CO3.3,600,,reclat,reclong
Fenghsien-Ku,10086,Valid,H5,600,,reclat,reclong
Ferguson,10088,Valid,OC,600,,reclat,reclong
Fermo,10091,Valid,H3-5,600,,reclat,reclong
Fisher,10107,Valid,L6,600,,reclat,reclong
Florence,10111,Valid,H3,600,,reclat,reclong
Forest City,10119,Valid,H5,600,,reclat,reclong
Forest Vale,10120,Valid,H4,600,,reclat,reclong
Forksville,10123,Valid,L6,600,,reclat,reclong
Forsbach,10163,Valid,H6,600,,reclat,reclong
Forsyth,10164,Valid,L6,600,,reclat,reclong
Fort Flatters,10166,Valid,Stone-uncl,600,,reclat,reclong
Frankfort (stone),10177,Valid,Howardite,600,,reclat,reclong
Fuhe,52412,Valid,L5,600,,reclat,reclong
Fukutomi,10836,Valid,L5,600,,reclat,reclong
Fünen,10838,Valid,Stone-uncl,600,,reclat,reclong
Futtehpur,10839,Valid,L6,600,,reclat,reclong
Fuyang,10840,Valid,Stone-uncl,600,,reclat,reclong
Galapian,10846,Valid,H6,600,,reclat,reclong
Galim (a),10848,Valid,LL6,600,,reclat,reclong
Galim (b),10849,Valid,EH3/4-an,600,,reclat,reclong
Galkiv,10850,Valid,H4,600,,reclat,reclong
Gambat,10851,Valid,L6,600,,reclat,reclong
Gao-Guenie,10854,Valid,H5,600,,reclat,reclong
Garhi Yasin,10860,Valid,"Iron, IIE",600,,reclat,reclong
Garland,10861,Valid,Diogenite-pm,600,,reclat,reclong
Gashua,44882,Valid,L6,600,,reclat,reclong
Gasseltepaoua,10866,Valid,H5,600,,reclat,reclong
Geidam,10870,Valid,H5,600,,reclat,reclong
Gifu,10914,Valid,L6,600,,reclat,reclong
Girgenti,10917,Valid,L6,600,,reclat,reclong
Git-Git,10919,Valid,L6,600,,reclat,reclong
Glanerbrug,10923,Valid,L/LL5,600,,reclat,reclong
Glanggang,10924,Valid,H5-6,600,,reclat,reclong
Glasatovo,10926,Valid,H4,600,,reclat,reclong
Glatton,10930,Valid,L6,600,,reclat,reclong
Gnadenfrei,10936,Valid,H5,600,,reclat,reclong
Gopalpur,10948,Valid,H6,600,,reclat,reclong
Gorlovka,10949,Valid,H3.7,600,,reclat,reclong
Granes,10956,Valid,L6,600,,reclat,reclong
Grefsheim,11196,Valid,L5,600,,reclat,reclong
Grimsby,50911,Valid,H5,600,,reclat,reclong
Grosnaja,11206,Valid,CV3,600,,reclat,reclong
Gross-Divina,11207,Valid,H5,600,,reclat,reclong
Grossliebenthal,11208,Valid,L6,600,,reclat,reclong
Grüneberg,11426,Valid,H4,600,,reclat,reclong
Grzempach,11429,Valid,H5,600,,reclat,reclong
Gualeguaychú,11432,Valid,H6,600,,reclat,reclong
Guangmingshan,11435,Valid,H5,600,,reclat,reclong
Guangnan,11436,Valid,L6,600,,reclat,reclong
Guangrao,11437,Valid,L6,600,,reclat,reclong
Guareña,11439,Valid,H6,600,,reclat,reclong
Guêa,11440,Valid,Stone-uncl,600,,reclat,reclong
Guibga,11442,Valid,L5,600,,reclat,reclong
Guidder,11443,Valid,LL5,600,,reclat,reclong
Gujargaon,11448,Valid,H5,600,,reclat,reclong
Gujba,11449,Valid,CBa,600,,reclat,reclong
Gumoschnik,11450,Valid,H5,600,,reclat,reclong
Gurram Konda,11464,Valid,L6,600,,reclat,reclong
Gursum,11465,Valid,H4/5,600,,reclat,reclong
Gütersloh,11466,Valid,H3/4,600,,reclat,reclong
Gyokukei,11467,Valid,OC,600,,reclat,reclong
Hachi-oji,11468,Valid,H?,600,,reclat,reclong
Hainaut,11472,Valid,H3-6,600,,reclat,reclong
Hallingeberg,11479,Valid,L3.4,600,,reclat,reclong
Hamlet,11485,Valid,LL4,600,,reclat,reclong
Haraiya,11824,Valid,Eucrite-mmict,600,,reclat,reclong
Haripura,11829,Valid,CM2,600,,reclat,reclong
Harleton,11830,Valid,L6,600,,reclat,reclong
Harrison County,11842,Valid,L6,600,,reclat,reclong
Hashima,11848,Valid,H4,600,,reclat,reclong
Hassi-Jekna,11852,Valid,"Iron, IAB-sHL",600,,reclat,reclong
Hatford,11855,Valid,Stone-uncl,600,,reclat,reclong
